
HIT: The 2nd Case, --, Krishna Dev aka KD, a laid back cop, works in AP HIT, has to take up a gruesome murder case. As KD unravels the layers of the crime, the stakes rise unbelievably high and the threat comes unusually close.
Love Today, 9.6/10, A witty father lays a trap by exchanging mobiles between a couple.
Masooda, 9.1/10, Neelam, a single mother, with the help of her meek and cowardly neighbour Gopi, struggles to save her possessed daughter from the clutches of an evil force.
Matti Kusthi, --, Veera, a male chauvinist, is seeking a bride with his own preconceived set of conditions. However, he unexpectedly ends up marrying Keerthi who is a polar opposite to his expectations. What will happen when the truth is revealed?
An Action Hero, --, Youth Icon! Superstar! Action Hero! At the age of just 30, Maanav was at the peak of his career when he got caught up in an accident while filming in Haryana. Maanav, who was once a household name, is now living in hiding.
Bhediya, 8/10, Set in the mesmerising forests of Arunachal, Bhediya tells the story of Bhaskar, a man who gets bitten by a mythical wolf, and begins to transform into the creature himself. As Bhaskar and his ragtag buddies try to find answers, a bunch of twists, turns and laughs ensue.
Drishyam 2, 9/10, 7 years after the case related to Vijay Salgaonkar and his family was closed, a series of unexpected events bring a truth to light that threatens to change everything for the Salgaonkars. Can Vijay save his family this time?
Avatar: The Way of Water, --, Set more than a decade after the events of the first film, "Avatar The Way of Water" begins to tell the story of the Sully family (Jake, Neytiri and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive and the tragedies they endure.
Violent Night, --, An elite team of mercenaries breaks into a family compound on Christmas Eve, taking everyone hostage. However, they aren't prepared for a surprise combatant: Santa Claus and he's about to show why this Nick is no saint.
Nenevaru, --, Krish and Chitra are in love. After Chitra goes missing, Krish starts killing people. But one day Akshara befriends him and get to know more about his life. What will happen when Akshara is revealed to be an undercover cop?
